Title,Compiler/Author,Date/Period,Origin,Public Domain?,Material/Type
Epic of Gilgamesh,Anonymous,c. 2100–1200 BCE,Mesopotamia,Yes,Epic poetry
Enūma Eliš,Anonymous,18th–12th c. BCE,Babylonia,Yes,Creation myth
Atra-Hasis,Anonymous,18th c. BCE,Babylonia,Yes,Flood myth
Baal Cycle,Anonymous,1500–1200 BCE,Canaanite (Ugarit),Yes,Mythic poetry
Book of the Dead,Anonymous,1550–50 BCE,Ancient Egypt,Yes,Funerary texts
Genesis (KJV),Multiple authors,10th–5th c. BCE,Ancient Israel,Yes,Religious scripture
The Iliad,Homer,c. 8th century BCE,Ancient Greece,Yes,Epic poetry
The Odyssey,Homer,c. 8th century BCE,Ancient Greece,Yes,Epic poetry
Theogony,Hesiod,c. 700 BCE,Ancient Greece,Yes,Creation myth
Aesop's Fables,Aesop,~6th century BCE,Ancient Greece,Yes,Fables
Rigveda,Multiple authors,1500–1000 BCE,India,Yes,Sacred hymns
Rāmāyaṇa,Vālmīki,300–100 BCE,India,Yes,Epic narrative
Mahābhārata,Vyāsa,400 BCE – 400 CE,India,Yes,Epic narrative
Pañchatantra,Unknown,3rd century BCE,India,Yes,Animal fables
Jātaka Tales,Anonymous,3rd century BCE,India/South Asia,Yes,Moral tales
Poetic Edda,Anonymous,13th century,Iceland,Yes,Mythic poems
Prose Edda,Snorri Sturluson,c. 1220 CE,Iceland,Yes,Mythology manual
Beowulf,Anonymous,8th–10th c.,Anglo-Saxon,Yes,Epic poetry
The Mabinogion,Anonymous,12th–13th century,Wales,Yes,Mythic prose
Táin Bó Cúailnge,Anonymous,12th century (oral older),Ireland,Yes,Epic saga
One Thousand and One Nights,Various,14th century,Middle East & South Asia,Yes,Folktale anthology
Shāhnāmeh,Ferdowsi,1010 CE,Persia (Iran),Yes,Epic poetry
Book of Dede Korkut,Anonymous,14th–15th century,Oghuz Turkic,Yes,Heroic epics
Epic of Manas,Anonymous,15th–18th century,Kyrgyz,Yes,Oral epic
Epic of King Gesar,Anonymous,12th–14th century,Tibet & Central Asia,Yes,Mythic epic
Journey to the West,Wu Cheng'en,1592,China,Yes,Fantasy epic
Fēngshén Yǎnyì,Xu Zhonglin (attrib.),c. 1550,China,Yes,Mythic novel
Kojiki,Ōno Yasumaro,712 CE,Japan,Yes,Mythic chronicle
Popol Vuh,Anonymous,1550 (oral older),Maya (Guatemala),Yes,Mythic cosmology
Epic of Sundiata,Oral tradition,13th c. (written 20th c.),Mali,Yes,Oral epic
Anansi Tales,Oral tradition,19th c. collected,West Africa / Caribbean,Yes,Trickster folklore
Le Morte d'Arthur,Sir Thomas Malory,1485,England,Yes,Arthurian legend
Divine Comedy,Dante Alighieri,1308–1321,Italy,Yes,Allegorical epic
Paradise Lost,John Milton,1667,England,Yes,Biblical epic
Grimms' Fairy Tales,Jacob & Wilhelm Grimm,1812–1857,Germany,Yes,Folktales
Mother Goose Tales,Charles Perrault,1697,France,Yes,Fairy tales
Bulfinch's Mythology,Thomas Bulfinch,1855–1863,United States,Yes,Mythology handbook
The Golden Bough,James G. Frazer,1890–1915,Scotland/UK,Yes,Comparative mythology
Andrew Lang's Fairy Books,Andrew & Nora Lang,1889–1913,Global sources,Yes,Folktale collections
Joseph Jacobs' Fairy Tales,Joseph Jacobs,1890–1912,UK/Europe/India,Yes,Folktale collections
Russian Fairy Tales,Alexander Afanasyev,1855–1863,Russian Empire,Yes,Folktales
Kalevala,Elias Lönnrot,1835–1849,Finland/Karelia,Yes,Epic poetry
South-African Folk-Tales,James A. Honey,1910,South Africa,Yes,Oral folklore
West African Folk-Tales,W.H. Barker & Cecilia Sinclair,1917,West Africa (Ghana),Yes,Oral folklore
Yoruba Legends,M. I. Ogumefu,1929,Nigeria,Yes,Folk legends
Zanzibar Tales,George W. Bateman,1901,Zanzibar (Swahili),Yes,Oral folklore
Kaffir (Xhosa) Folk-Lore,George McCall Theal,1886,South Africa (Xhosa),Yes,Folk legends
Ikom Folk Stories from Southern Nigeria,Elphinstone Dayrell,1913,Nigeria,Yes,Tribal folklore
Myths and Legends of the Bantu,Alice Werner,1933,Sub-Saharan Africa,Yes,Myths and legends
Tales of the North American Indians,Stith Thompson,1929,North America (various tribes),Yes,Native folklore
Myths of the Cherokee,James Mooney,1900,Cherokee Nation,Yes,Tribal mythology
Myths and Legends of the Mississippi Valley and the Great Lakes,Katharine B. Judson,1914,North America,Yes,Native American myths
The Myths of Mexico and Peru,Lewis Spence,1913,Mesoamerica & Andes,Yes,Mythology
Philippine Folk Tales,Mabel Cook Cole,1916,Philippines,Yes,Oral folklore
Malay Magic,Walter W. Skeat,1900,Malaysia,Yes,Mythic beliefs & folklore
Laos Folk-Lore of Farther India,Katherine Neville Fleeson,1899,Laos/Thailand,Yes,Folk tales
The Legends and Myths of Hawaii,King David Kalākaua,1888,Hawaii,Yes,Myths and legends
Polynesian Mythology,Sir George Grey,1855,New Zealand (Māori),Yes,Mythology
Eskimo Folk-Tales,Knud Rasmussen,1921,Greenland Inuit,Yes,Folk tales
The Pilgrim's Progress,John Bunyan,1678,England,Yes,Allegorical prose
The Conference of the Birds,Farīd ud-Dīn Attar,c. 1177,Persia,Yes,Allegorical poetry
Gnostic Gospels,Various,2nd–4th century CE,Early Christian/Egypt,Yes,Religious texts
